"url","nombreFinal","ext","alt","nUsos","usos"
"https://cdn.prod.website-files.com/68f185eb546f2dc686d244e0/694456467fa4e66ac48ebf09_outdoor-living-construction-finishes-florida-p-500.webp","outdoor-living-construction-finishes-florida-p-500.webp","webp","Pool remodeling site preparation with excavation and foundation work at a modern residential property in Florida","1","vivo:country_custom-pool-builders-alachua-county-fl.html"
"https://cdn.prod.website-files.com/68f185eb546f2dc686d244e0/694456467fa4e66ac48ebf09_outdoor-living-construction-finishes-florida-p-800.webp","outdoor-living-construction-finishes-florida-p-800.webp","webp","Pool remodeling site preparation with excavation and foundation work at a modern residential property in Florida","1","vivo:country_custom-pool-builders-alachua-county-fl.html"
"https://cdn.prod.website-files.com/68f185eb546f2dc686d244e0/694456467fa4e66ac48ebf09_outdoor-living-construction-finishes-florida.webp","outdoor-living-construction-finishes-florida.webp","webp","Pool remodeling site preparation with excavation and foundation work at a modern residential property in Florida","1","vivo:country_custom-pool-builders-alachua-county-fl.html"
"https://cdn.prod.website-files.com/68f185eb546f2dc686d244e0/694456468696bdc9e44818e0_outdoor-living-design-planning-florida-p-1080.webp","outdoor-living-design-planning-florida-p-1080.webp","webp","Outdoor living design consultation showing a 3D pool and patio layout at a modern Florida home","1","vivo:country_custom-pool-builders-alachua-county-fl.html"
"https://cdn.prod.website-files.com/68f185eb546f2dc686d244e0/694456468696bdc9e44818e0_outdoor-living-design-planning-florida-p-500.webp","outdoor-living-design-planning-florida-p-500.webp","webp","Outdoor living design consultation showing a 3D pool and patio layout at a modern Florida home","1","vivo:country_custom-pool-builders-alachua-county-fl.html"
"https://cdn.prod.website-files.com/68f185eb546f2dc686d244e0/694456468696bdc9e44818e0_outdoor-living-design-planning-florida-p-800.webp","outdoor-living-design-planning-florida-p-800.webp","webp","Outdoor living design consultation showing a 3D pool and patio layout at a modern Florida home","1","vivo:country_custom-pool-builders-alachua-county-fl.html"
"https://cdn.prod.website-files.com/68f185eb546f2dc686d244e0/694456468696bdc9e44818e0_outdoor-living-design-planning-florida.webp","outdoor-living-design-planning-florida.webp","webp","Outdoor living design consultation showing a 3D pool and patio layout at a modern Florida home","1","vivo:country_custom-pool-builders-alachua-county-fl.html"
"https://cdn.prod.website-files.com/68f185eb546f2dc686d244e0/694875e1af84227880101a2a_commercial-pool-builders-property-owners-florida.avif","commercial-pool-builders-property-owners-florida.avif","avif","Commercial pool builders for real estate developers in North and South Florida, supporting new commercial and multifamily pool construction projects.","1","vivo:industry-solutions.html"
"https://cdn.prod.website-files.com/68f185eb546f2dc686d244e0/694875e1e23c3f7a657793e1_commercial-pool-contractors-architects-design-firms-florida.avif","commercial-pool-contractors-architects-design-firms-florida.avif","avif","Commercial pool contractors collaborating with architects and design firms in North and South Florida for accurate and compliant pool construction.","1","vivo:industry-solutions.html"
"https://cdn.prod.website-files.com/68f185eb546f2dc686d244e0/694875e1e64fbec9529d221c_commercial-pool-builders-real-estate-developers-florida.avif","commercial-pool-builders-real-estate-developers-florida.avif","avif","Experienced commercial pool contractors working with general contractors across North and South Florida for large-scale pool construction projects.","1","vivo:industry-solutions.html"
